CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
#3 LC5,4AP24h,1.91E+02,3.21E+02,4.06E+01,1.63E+02,1.09E+03,9.15E+01,2.11E+02,2.04E+02,,1.17E+04,1.17E+04,5.07E+03,9.94E+01,2.54E+02
#4 LC3,4AP24h,8.99E+01,4.53E+01,7.40E+00,3.79E+01,2.55E+02,9.32E+01,6.27E+01,1.05E+02,,2.71E+03,2.94E+03,1.04E+03,5.39E+00,1.94E+00
#5 LC4,4AP24h,1.98E+02,2.91E+02,1.29E+01,1.23E+02,3.18E+03,5.73E+01,1.70E+02,7.31E+01,,3.51E+03,5.87E+03,1.95E+03,2.65E+00,6.48E+10
#6 LC5,4AP24h,2.09E+02,1.38E+02,1.51E+01,2.57E+01,,,9.50E+01,2.03E+02,,2.95E+03,5.49E+03,1.48E+03,1.13E+02,2.90E+02
#7 LC3,4AP24h,1.38E+02,4.11E+02,9.94E+01,1.10E+02,2.18E+03,1.85E+02,2.84E+02,8.00E+01,,7.40E+03,1.02E+04,5.64E+03,3.56E+01,6.48E+10
#8 LC4,4AP24h,7.60E+02,4.90E+02,1.14E+02,2.48E+02,8.40E+02,5.37E+02,9.80E+02,5.68E+02,6.47E+01,,,,6.71E+02,1.35E+02
#9 LC5,4AP24h,,1.33E+03,,4.06E+02,1.46E+03,1.06E+03,2.25E+03,1.58E+03,1.96E+02,,,,3.55E+03,2.46E+03
#10 LC3,4AP24h,1.88E+02,3.03E+02,5.37E+01,4.10E+01,7.96E+02,8.51E+01,8.08E+01,1.48E+02,7.23E+01,1.72E+03,3.23E+03,1.36E+03,5.92E+01,1.31E+02
#11 LC4,4AP24h,4.85E+02,1.06E+03,4.84E+01,2.10E+02,7.67E+03,1.08E+03,1.01E+03,7.75E+02,2.44E+02,6.60E+03,8.48E+03,3.92E+03,6.40E+01,
#4 LC3,4AP24h,5.79E+02,1.31E+03,2.99E+01,9.38E+01,1.04E+03,6.24E+02,1.02E+03,,,1.10E+04,1.37E+04,4.49E+03,4.21E+02,1.83E+03
#5 LC4,4AP24h,2.89E+02,7.70E+02,1.49E+02,3.40E+02,4.05E+03,4.20E+02,5.38E+02,1.61E+02,1.64E+02,7.16E+03,6.86E+03,6.68E+03,1.27E+01,
#6 LC5,4AP24h,4.33E+02,6.14E+02,3.50E+01,2.11E+02,,,,4.02E+02,1.93E+02,,,,1.79E+02,7.97E+01
#7 LC3,4AP24h,6.19E+02,9.07E+02,1.16E+02,4.76E+02,4.16E+03,4.51E+02,6.12E+02,8.40E+02,3.15E+02,,,,3.42E+02,4.13E+03
#8 LC4,4AP24h,6.57E+02,1.05E+03,1.94E+02,3.73E+02,4.53E+03,6.91E+02,7.15E+02,5.06E+02,2.76E+02,,,,3.17E+02,9.42E+02
#9 LC5,4AP24h,3.78E+02,9.39E+02,1.73E+02,3.58E+02,1.04E+04,8.89E+02,1.29E+03,7.32E+02,1.86E+02,3.32E+03,5.13E+03,2.70E+03,9.19E+01,9.50E+02
#1 LC3,4AP24h,3.38E+02,7.84E+02,2.51E+02,4.41E+02,1.53E+04,9.03E+02,1.82E+03,,,5.55E+03,8.44E+03,4.27E+03,3.64E+00,
#2 LC4,4AP24h,3.05E+02,2.81E+02,1.41E+01,1.86E+02,2.18E+03,4.41E+02,7.21E+02,8.33E+02,3.52E+02,7.25E+03,8.88E+03,4.44E+03,3.50E+01,1.13E+01
#3 LC5,4AP24h,1.91E+02,3.21E+02,4.06E+01,1.63E+02,1.09E+03,9.15E+01,2.11E+02,2.04E+02,,1.17E+04,1.17E+04,5.07E+03,9.94E+01,2.54E+02
#5 LC4,4AP24h,1.98E+02,2.91E+02,1.29E+01,1.23E+02,3.18E+03,5.73E+01,1.70E+02,7.31E+01,,3.51E+03,5.87E+03,1.95E+03,2.65E+00,
#6 LC5,4AP24h,2.09E+02,1.38E+02,1.51E+01,2.57E+01,,,9.50E+01,2.03E+02,,2.95E+03,5.49E+03,1.48E+03,1.13E+02,2.90E+02
#7 LC3,4AP24h,1.38E+02,4.11E+02,9.94E+01,1.10E+02,2.18E+03,1.85E+02,2.84E+02,8.00E+01,,7.40E+03,1.02E+04,5.64E+03,3.56E+01,
#8 LC4,4AP24h,7.60E+02,4.90E+02,1.14E+02,2.48E+02,8.40E+02,5.37E+02,9.80E+02,5.68E+02,6.47E+01,1.22E+04,1.38E+04,5.93E+03,3.35E+02,6.73E+01
TEA24-2,TEA-24h,1320.9626,2181.7069,1.81E+02,5.65E+02,1.26E+04,2672.1705,4594.2019,6507.9722,1382.2383,6.83E+03,1.05E+04,4.83E+03,2.68E+02,8.70E+03
TEA24-3,TEA-24h,1.01E+03,1.08E+03,4.15E+02,6.35E+02,1.51E+04,1.30E+03,1.99E+03,,71.6979,6.46E+03,1.01E+04,5.48E+03,8.95E+01,1.43E+03
TEA24-4,TEA-24h,5.38E+02,3.72E+02,1.54E+02,3.27E+02,8.35E+03,7.17E+02,6.48E+02,,4.78E+01,6.08E+03,9.74E+03,5.15E+03,1.52E+01,1.77E+00
TEA24-5,TEA-24h,8.23E+02,9.59E+02,3.93E+02,7.21E+02,1.14E+04,8.95E+02,1.25E+03,101.0783,7.67E+01,1.08E+04,1.51E+04,8.77E+03,2.30E+01,
TEA24-6,TEA-24h,8.71E+02,1.05E+03,2.30E+02,3.94E+02,1.49E+04,2.23E+03,2.82E+03,1.79E+03,7.88E+02,1.01E+04,1.47E+04,7.20E+03,4.11E+02,3064.5297
TEA24-7,TEA-24h,8.33E+02,1.64E+03,4.53E+02,6.91E+02,1.65E+04,1244.4055,2.01E+03,,7.8075,1.04E+04,1.36E+04,9.75E+03,1.14E+01,5.95E+02
TEA24-8,TEA-24h,2.69E+02,588.3206,142.1482,2.87E+02,6259.3675,140.3541,3.42E+02,,,6831.7702,9.86E+03,6813.8449,1.11E+01,
TEA24-9,TEA-24h,1.79E+02,3.53E+02,1.22E+02,2.03E+02,7.04E+03,3.66E+02,9.08E+02,790.2015,40.0288,2.22E+03,2.70E+03,1.48E+03,,
TEA24-10,TEA-24h,3.39E+02,3.76E+02,1.13E+02,2.38E+02,3.77E+03,4.14E+02,4.63E+02,1.14E+02,6.41E+01,5.46E+03,5.51E+03,3.90E+03,,
TEA24-11,TEA-24h,2.04E+02,3.62E+02,9.43E+01,1.51E+02,9.07E+03,7.46E+02,1.17E+03,,,1910.1376,2.29E+03,1475.4746,2.95E+01,
TEA24-12,TEA-24h,1.19E+03,4.98E+02,2.73E+02,4.64E+02,1.30E+04,1453.7559,2.62E+03,162.9335,,1.06E+04,1.30E+04,8.15E+03,3.21E+02,1.31E+01
TEA24-13,TEA-24h,1.20E+03,9.38E+02,1.59E+02,2.75E+02,9395.2205,2.31E+03,2.82E+03,2.16E+03,1618.5113,4649.7561,5.60E+03,3239.4879,333.9099,1692.1769
TEA24-15,TEA-24h,455.2943,734.3248,228.5191,524.1711,20605.0438,1433.6476,2156.6466,25.9036,,11548.0077,11025.5022,9096.7118,,
1 LC3,24h-CONTROL,1.02E+03,1.51E+03,1.08E+02,2.56E+02,5.90E+03,2.18E+03,3.45E+03,,,6.37E+03,9.31E+03,4.49E+03,2.87E+02,5.29E+03
10 LC3,24h-CONTROL,6.74E+02,1.77E+03,4.52E+02,6.44E+02,2.34E+04,1.91E+03,3.13E+03,3.55E+02,3.51E+02,7.61E+03,1.17E+04,5.66E+03,2.32E+01,
11 LC4,24h-CONTROL,1.11E+03,1.68E+03,5.40E+01,2.26E+02,6.49E+03,1.87E+03,2.83E+03,,,2.93E+03,4.30E+03,2.10E+03,3.12E+02,2.59E+03
12 LC5,24h-CONTROL,3.28E+02,8.88E+02,2.09E+02,3.50E+02,1.28E+04,9.70E+02,1.71E+03,5.01E+02,1.94E+02,5.85E+03,8.03E+03,4.36E+03,3.22E+01,
13 LC3,24h-CONTROL,2.72E+02,5.11E+02,8.98E+01,4.25E+02,8.14E+03,5.76E+02,9.30E+02,9.70E+01,,5.30E+03,7.13E+03,3.55E+03,1.71E+01,
14 LC4,24h-CONTROL,6.34E+02,1.58E+03,4.85E+02,7.47E+02,2.46E+04,1.85E+03,2.59E+03,2.18E+02,3.96E+01,9.34E+03,1.19E+04,6.51E+03,2.77E+00,
15 LC5,24h-CONTROL,3.90E+02,9.82E+02,2.88E+02,5.69E+02,1.68E+04,1.38E+03,2.29E+03,1.87E+02,6.93E+01,7.56E+03,9.89E+03,5.21E+03,1.17E+01,1.20E+02
2 LC4,24h-CONTROL,1.15E+03,1.56E+03,3.29E+02,4.11E+02,1.49E+04,2.44E+03,2.92E+03,2.28E+03,,7.93E+03,1.14E+04,5.77E+03,1.87E+02,3.87E+02
3 LC5,24h-CONTROL,8.14E+02,1.25E+03,4.77E+02,3.40E+02,1.59E+04,1.89E+03,2.63E+03,1.65E+03,,4.61E+03,6.96E+03,4.07E+03,1.03E+02,8.82E+02
4 LC3,24h-CONTROL,,1.71E+03,4.69E+01,6.71E+01,3.72E+03,,4.14E+03,,,1.02E+03,1.76E+03,1.00E+03,5.17E+02,1.75E+03
5 LC4,24h-CONTROL,,1.40E+03,2.30E+02,,1.09E+04,1.53E+03,2.16E+03,2.24E+03,,,,,8.11E+01,6.34E+02
6 LC5,24h-CONTROL,5.69E+02,1.01E+03,3.28E+02,3.76E+02,1.73E+04,1.81E+03,2.49E+03,1.02E+03,,3.99E+03,6.38E+03,3.45E+03,6.06E+01,1.06E+02
7 LC3,24h-CONTROL,3.61E+02,1.00E+03,2.75E+02,3.24E+02,1.31E+04,1.17E+03,1.43E+03,4.77E+02,1.41E+02,4.56E+03,5.10E+03,3.28E+03,6.02E+00,
8 LC4,24h-CONTROL,7.51E+02,1.25E+03,2.54E+02,5.06E+02,1.36E+04,1.45E+03,1.75E+03,5.96E+02,1.64E+02,8.82E+03,1.10E+04,6.20E+03,3.05E+00,3.82E+01
9 LC5,24h-CONTROL,1.90E+02,5.06E+02,1.01E+02,1.60E+02,5.06E+03,3.76E+02,6.44E+02,1.03E+02,6.24E+01,3.28E+03,4.00E+03,2.16E+03,2.17E+01,
TEA #1,TEA-Acute,3.84E+02,6.23E+02,1.82E+02,1.83E+02,1.52E+04,1.48E+03,2.08E+03,1.00E+03,3.70E+02,1.77E+03,3.63E+03,1.57E+03,7.74E+01,1.08E+03
TEA #10,TEA-Acute,4.08E+02,8.07E+02,2.71E+02,3.09E+02,1.48E+04,1.19E+03,1.74E+03,4.74E+02,4.22E+02,1.54E+03,2.85E+03,1.44E+03,7.40E+01,2.25E+02
TEA #11,TEA-Acute,1.03E+02,2.05E+02,6.15E+01,7.50E+01,6.22E+03,2.05E+02,7.16E+01,,,2.40E+03,4.29E+03,1.72E+03,,
TEA #12,TEA-Acute,,,4.17E+02,4.37E+02,2.25E+04,,5.40E+03,,,1.78E+03,4.98E+03,1.96E+03,4.04E+02,1.29E+03
TEA #13,TEA-Acute,2.44E+02,4.13E+02,1.78E+02,2.25E+02,8.59E+03,7.68E+02,9.17E+02,2.78E+02,,7.08E+03,1.16E+04,5.88E+03,2.30E+01,
TEA #14,TEA-Acute,3.59E+02,3.55E+02,1.13E+02,1.16E+02,3.36E+03,7.82E+02,1.50E+03,1.73E+03,2.05E+02,1.21E+03,5.73E+03,1.24E+03,7.09E+01,2.00E+03
TEA #15,TEA-Acute,5.49E+02,9.72E+02,3.68E+02,4.90E+02,1.29E+04,8.54E+02,1.63E+03,2.43E+02,7.81E+01,3.97E+03,7.17E+03,4.36E+03,5.56E+01,3.36E+02
TEA #2,TEA-Acute,5.61E+02,9.62E+02,2.47E+02,2.83E+02,2.12E+04,2.21E+03,2.93E+03,5.17E+02,1.01E+02,4.40E+03,8.42E+03,4.80E+03,6.84E+01,5.43E+02
TEA #3,TEA-Acute,6.07E+02,5.03E+02,1.42E+02,1.71E+02,4.61E+03,1.46E+03,1.82E+03,1.46E+03,5.98E+02,6.56E+03,1.15E+04,5.85E+03,1.46E+02,9.72E+02
TEA #4,TEA-Acute,4.69E+02,7.97E+02,3.06E+02,2.91E+02,1.67E+04,1.48E+03,2.06E+03,9.69E+01,1.06E+02,1.90E+03,3.39E+03,2.35E+03,1.22E+01,7.33E+00
TEA #5,TEA-Acute,6.85E+01,3.18E+00,6.84E+01,6.23E+00,3.94E+02,1.29E+03,3.05E+01,,,1.13E+03,1.53E+03,7.76E+02,,
TEA #6,TEA-Acute,7.36E+02,2.84E+02,1.54E+02,1.97E+02,1.02E+04,1.01E+03,1.77E+03,8.99E+02,2.90E+01,6.55E+03,9.68E+03,4.63E+03,1.99E+02,
TEA #7,TEA-Acute,1.41E+02,1.20E+02,9.98E+01,1.30E+02,2.24E+03,4.87E+02,3.33E+02,,2.21E+02,3.72E+03,6.39E+03,2.91E+03,1.29E+01,
TEA #8,TEA-Acute,4.45E+02,3.30E+02,1.54E+02,1.98E+02,9.50E+03,6.55E+02,1.32E+03,1.69E+02,,3.61E+03,6.52E+03,3.32E+03,1.91E+02,5.56E+00
TEA #9,TEA-Acute,3.87E+02,2.23E+02,1.00E+02,3.09E+02,3.72E+03,3.77E+02,3.64E+02,3.82E+02,8.78E+01,,,,,1.38E+02
